id,type,cha_id,flow,farm_id,farm_area_
"2484",a_120f_1,"106",til,a_120,6.742
"4697",a_003f_1,"265",til,a_003,154.308
"1559",a_088f_1,"64",til,a_088,61.562
"2486",a_121f_2,"106",til,a_121,10.664
"1547",a_085f_1,"64",til,a_085,38.794
"92",a_004f_1,"2",til,a_004,641.926
"9",a_001f_5,"1",til,a_001,253.839
"1548",a_086f_1,"64",til,a_086,16.657
"63",a_002f_6,"1",til,a_002,655.272
"2516",a_124f_3,"107",til,a_124,57.828
"1560",a_089f_1,"64",til,a_089,11.454
"2555",a_125f_1,"109",til,a_125,25.076
"2495",a_122f_1,"106",til,a_122,21.872
"746",a_038f_1,"19",til,a_038,22.105
"747",a_039f_1,"19",til,a_039,8.452
"6064",a_123f_2,"408",til,a_123,62.655
"3932",a_159f_1,"165",til,a_159,12.495
"649",a_032f_1,"13",til,a_032,0.494
"1349",a_033f_2,"61",til,a_033,319.751
"5224",a_150f_1,"332",til,a_150,203.683
"541",a_030f_1,"12",til,a_030,231.534
"599",a_031f_2,"13",til,a_031,418.173
"3833",a_153f_1,"163",til,a_153,7.381
"742",a_036f_1,"19",til,a_036,0.433
"744",a_037f_1,"19",til,a_037,20.658
"3834",a_154f_1,"163",til,a_154,1.543
"3831",a_151f_1,"163",til,a_151,11.307
"1325",a_034f_1,"60",til,a_034,49.139
"5202",a_035f_2,"330",til,a_035,205.189
"3832",a_152f_1,"163",til,a_152,10.297
"1934",a_029f_1,"75",til,a_029,213.893
"4761",a_157f_1,"280",til,a_157,74.087
"3919",a_158f_1,"165",til,a_158,145.527
"2958",a_027f_1,"127",til,a_027,235.444
"3836",a_155f_1,"163",til,a_155,14.649
"4770",a_156f_2,"281",til,a_156,50.031
"519",a_028f_2,"12",til,a_028,167.706
"3743",a_148f_1,"156",til,a_148,3.146
"3764",a_149f_1,"157",til,a_149,15.267
"6235",a_216f_3,"416",til,a_216,151.169
"6208",a_217f_1,"415",til,a_217,3.189
"6098",a_214f_1,"412",til,a_214,0.985
"6128",a_215f_1,"412",til,a_215,2.771
"6233",a_218f_1,"416",til,a_218,22.596
"6234",a_219f_1,"416",til,a_219,0.426
"1854",a_021f_3,"71",til,a_021,269.759
"601",a_022f_1,"13",til,a_022,462.397
"5878",a_020f_2,"397",til,a_020,126.926
"1125",a_025f_2,"57",til,a_025,393.724
"3249",a_142f_1,"131",til,a_142,98.579
"1406",a_026f_1,"61",til,a_026,167.546
"3326",a_143f_1,"136",til,a_143,2.423
"458",a_023f_1,"10",til,a_023,206.516
"3125",a_140f_1,"128",til,a_140,72.530
"459",a_024f_2,"10",til,a_024,43.580
"3248",a_141f_1,"131",til,a_141,187.007
"5300",a_146f_5,"346",til,a_146,283.078
"3637",a_147f_1,"143",til,a_147,3.230
"6171",a_144f_1,"414",til,a_144,115.840
"3394",a_145f_4,"137",til,a_145,153.202
"6076",a_212f_1,"409",til,a_212,0.291
"6097",a_213f_1,"412",til,a_213,1.024
"5982",a_210f_1,"405",til,a_210,103.965
"6018",a_211f_1,"406",til,a_211,96.369
"5748",a_205f_1,"374",til,a_205,30.393
"5749",a_206f_1,"374",til,a_206,7.101
"5679",a_203f_1,"367",til,a_203,21.018
"5725",a_204f_2,"373",til,a_204,25.177
"5801",a_209f_1,"378",til,a_209,1.346
"5770",a_207f_1,"376",til,a_207,13.037
"5781",a_208f_1,"377",til,a_208,0.284
"930",a_050f_1,"41",til,a_050,23.081
"945",a_051f_1,"42",til,a_051,49.679
"4530",a_171f_1,"250",til,a_171,0.513
"999",a_054f_3,"51",til,a_054,76.265
"4534",a_172f_1,"250",til,a_172,0.975
"1051",a_055f_1,"54",til,a_055,40.070
"958",a_052f_1,"49",til,a_052,163.477
"4506",a_170f_1,"245",til,a_170,17.788
"997",a_053f_2,"51",til,a_053,340.983
"1079",a_058f_1,"55",til,a_058,50.262
"4771",a_175f_1,"282",til,a_175,1.834
"1087",a_059f_1,"56",til,a_059,66.142
"5567",a_176f_2,"365",til,a_176,146.541
"1066",a_056f_1,"55",til,a_056,8.807
"4537",a_173f_1,"250",til,a_173,5.448
"4741",a_174f_2,"279",til,a_174,192.417
"1068",a_057f_1,"55",til,a_057,1.102
"4890",a_179f_1,"288",til,a_179,0.471
"4888",a_177f_1,"288",til,a_177,16.421
"887",a_049f_1,"37",til,a_049,358.700
"4889",a_178f_2,"288",til,a_178,115.083
"5618",a_201f_1,"366",til,a_201,5.227
"5619",a_202f_1,"366",til,a_202,0.184
