,0
7.582368697884617,2022-03-22
7.2032502629903865,2022-03-23
6.843087749840866,2022-03-24
6.500933362348823,2022-03-25
6.175886694231381,2022-03-26
5.867092359519812,2022-03-27
5.5737377415438205,2022-03-28
5.295050854466629,2022-03-29
5.030298311743297,2022-03-30
4.778783396156132,2022-03-31
4.5398442263483245,2022-04-01
4.312852015030908,2022-04-02
4.097209414279363,2022-04-03
3.892348943565395,2022-04-04
3.697731496387125,2022-04-05
5.812844921567768,2022-04-06
5.522202675489379,2022-04-07
5.24609254171491,2022-04-08
5.383787914629165,2022-04-09
7.314598518897707,2022-04-10
7.248868592952821,2022-04-11
6.886425163305179,2022-04-12
6.7421039051399205,2022-04-13
6.404998709882924,2022-04-14
6.2847487743887775,2022-04-15
5.970511335669339,2022-04-16
5.671985768885872,2022-04-17
5.688386480441578,2022-04-18
5.503967156419498,2022-04-19
5.228768798598523,2022-04-20
4.967330358668597,2022-04-21
4.718963840735166,2022-04-22
4.483015648698408,2022-04-23
14.558864866263487,2022-04-24
34.53092162295031,2022-04-25
32.80437554180279,2022-04-26
32.364156764712654,2022-04-27
30.74594892647702,2022-04-28
30.408651480153168,2022-04-29
33.988218906145505,2022-04-30
36.98880796083823,2022-05-01
35.93936756279631,2022-05-02
34.1423991846565,2022-05-03
33.13527922542367,2022-05-04
31.57851526415249,2022-05-05
29.999589500944865,2022-05-06
28.49961002589762,2022-05-07
50.0,2022-05-08
48.0,2022-05-09
45.599999999999994,2022-05-10
43.31999999999999,2022-05-11
43.65399999999999,2022-05-12
42.77129999999998,2022-05-13
41.332734999999985,2022-05-14
39.266098249999985,2022-05-15
37.402793337499986,2022-05-16
35.63265367062499,2022-05-17
38.95102098709374,2022-05-18
37.003469937739055,2022-05-19
35.1532964408521,2022-05-20
33.895631618809496,2022-05-21
32.600850037869016,2022-05-22
30.970807535975563,2022-05-23
29.422267159176783,2022-05-24
27.95115380121794,2022-05-25
27.353596111157042,2022-05-26
36.08591630559919,2022-05-27
49.581620490319224,2022-05-28
47.60253946580326,2022-05-29
45.222412492513094,2022-05-30
42.96129186788744,2022-05-31
50.0,2022-06-01
50.0,2022-06-02
50.0,2022-06-03
47.5,2022-06-04
45.125,2022-06-05
50.0,2022-06-06
47.5,2022-06-07
45.125,2022-06-08
42.86875,2022-06-09
40.725312499999994,2022-06-10
38.689046874999995,2022-06-11
36.75459453124999,2022-06-12
37.31686480468749,2022-06-13
35.951021564453114,2022-06-14
34.153470486230454,2022-06-15
32.44579696191893,2022-06-16
32.22350711382298,2022-06-17
30.712331758131832,2022-06-18
29.17671517022524,2022-06-19
27.717879411713977,2022-06-20
28.231985441128277,2022-06-21
41.720386169071865,2022-06-22
39.63436686061827,2022-06-23
40.55264851758736,2022-06-24
41.32501609170799,2022-06-25
39.258765287122586,2022-06-26
37.29582702276645,2022-06-27
35.43103567162813,2022-06-28
33.65948388804672,2022-06-29
31.976509693644385,2022-06-30
34.07768420896217,2022-07-01
32.673799998514056,2022-07-02
36.74010999858835,2022-07-03
35.003104498658935,2022-07-04
34.45294927372599,2022-07-05
32.73030181003969,2022-07-06
31.093786719537704,2022-07-07
29.53909738356082,2022-07-08
28.062142514382778,2022-07-09
26.65903538866364,2022-07-10
25.326083619230456,2022-07-11
24.059779438268933,2022-07-12
22.956790466355486,2022-07-13
21.80895094303771,2022-07-14
20.718503395885826,2022-07-15
30.582578226091535,2022-07-16
36.05344931478696,2022-07-17
34.55077684904761,2022-07-18
34.92323800659523,2022-07-19
33.17707610626547,2022-07-20
31.518222300952193,2022-07-21
30.942311185904583,2022-07-22
29.39519562660935,2022-07-23
27.92543584527888,2022-07-24
26.529164053014934,2022-07-25
25.202705850364186,2022-07-26
25.342570557845974,2022-07-27
24.075442029953674,2022-07-28
22.87166992845599,2022-07-29
21.72808643203319,2022-07-30
20.641682110431532,2022-07-31
19.609598004909955,2022-08-01
18.629118104664457,2022-08-02
19.39766219943123,2022-08-03
18.827779089459668,2022-08-04
17.886390134986684,2022-08-05
16.99207062823735,2022-08-06
16.14246709682548,2022-08-07
15.335343741984206,2022-08-08
14.568576554884995,2022-08-09
15.540147727140743,2022-08-10
15.263140340783705,2022-08-11
14.49998332374452,2022-08-12
50.0,2022-08-13
