,0
30.514385300423502,2022-04-09
32.397993053169586,2022-04-10
32.36207038169218,2022-04-11
32.02652017895842,2022-04-12
31.894449170764037,2022-04-13
31.563747557452373,2022-04-14
31.436474865469975,2022-04-15
31.11052181642431,2022-04-16
30.787948452621244,2022-04-17
30.76871973136867,2022-04-18
30.549690385534248,2022-04-19
30.23293207305871,2022-04-20
29.91945810904157,2022-04-21
29.60923443930218,2022-04-22
29.302227362754948,2022-04-23
39.298403527748235,2022-04-24
40.0,2022-04-25
39.58525496202668,2022-04-26
40.0,2022-04-27
39.58525496202668,2022-04-28
40.0,2022-04-29
40.0,2022-04-30
40.0,2022-05-01
40.0,2022-05-02
39.58525496202668,2022-05-03
39.87481026021645,2022-05-04
39.561363267827645,2022-05-05
39.15116629005786,2022-05-06
38.74522249131611,2022-05-07
40.0,2022-05-08
40.0,2022-05-09
39.58525496202668,2022-05-10
39.17481026021645,2022-05-11
40.0,2022-05-12
40.0,2022-05-13
40.0,2022-05-14
39.58525496202668,2022-05-15
39.27481026021645,2022-05-16
38.96758444339724,2022-05-17
40.0,2022-05-18
39.58525496202668,2022-05-19
39.17481026021645,2022-05-20
39.26862130599217,2022-05-21
39.26145966012433,2022-05-22
38.854372270683676,2022-05-23
38.45150581811282,2022-05-24
38.052816537096206,2022-05-25
38.45826111610446,2022-05-26
40.0,2022-05-27
40.0,2022-05-28
40.0,2022-05-29
39.58525496202668,2022-05-30
39.17481026021645,2022-05-31
40.0,2022-06-01
40.0,2022-06-02
40.0,2022-06-03
39.58525496202668,2022-06-04
39.17481026021645,2022-06-05
40.0,2022-06-06
39.58525496202668,2022-06-07
39.17481026021645,2022-06-08
38.76862130599217,2022-06-09
38.366643973098995,2022-06-10
37.9688345928107,2022-06-11
