date,var,depth,site,value
2021-11-06,temp,200,600411,5
2021-11-06,temp,200,600413,4.3
2021-11-06,temp,300,600409,6.7
2021-11-06,temp,300,600410,6.3
2021-11-06,temp,300,600411,6
2021-11-06,temp,300,600413,5.7
2021-11-06,temp,400,600409,7.4
2021-11-06,temp,400,600410,6.7
2021-11-06,temp,400,600411,6.9
2021-11-06,temp,400,600413,6.8
2021-11-06,temp,500,600409,7.5
2021-11-06,temp,500,600410,7.3
2021-11-06,temp,500,600411,7.5
2021-11-06,temp,500,600413,7
2021-11-06,temp,600,600409,7.7
2021-11-06,temp,600,600410,7.7
2021-11-06,temp,600,600411,8
2021-11-06,temp,600,600413,7.8
2021-11-07,smc,300,600409,41.2
2021-11-07,smc,300,600410,38.1
2021-11-07,smc,300,600411,40.7
2021-11-07,smc,300,600413,37.9
2021-11-07,smc,450,600409,39.2
2021-11-07,smc,450,600410,37.2
2021-11-07,smc,450,600411,45.5
2021-11-07,smc,450,600413,38.7
2021-11-07,smc,600,600409,41.2
2021-11-07,smc,600,600410,35.1
2021-11-07,smc,600,600411,47.7
2021-11-07,smc,600,600413,32.4
2021-11-07,smc,750,600409,39.5
2021-11-07,smc,750,600410,33.8
2021-11-07,smc,750,600411,45.5
2021-11-07,smc,750,600413,29.1
2021-11-07,smc,900,600409,39.2
2021-11-07,smc,900,600410,40
2021-11-07,smc,900,600411,42
2021-11-07,smc,900,600413,34.5
2021-11-07,temp,035,600409,3.5
2021-11-07,temp,035,600410,4.4
2021-11-07,temp,035,600411,4.2
2021-11-07,temp,035,600413,4
2021-11-07,temp,100,600409,5.7
2021-11-07,temp,100,600410,5
2021-11-07,temp,100,600411,4.7
2021-11-07,temp,100,600413,4.2
2021-11-07,temp,200,600409,6.4
2021-11-07,temp,200,600410,5.8
2021-11-07,temp,200,600411,5.1
2021-11-07,temp,200,600413,4.6
2021-11-07,temp,300,600409,6.6
2021-11-07,temp,300,600410,6
2021-11-07,temp,300,600411,5.6
2021-11-07,temp,300,600413,5.4
2021-11-07,temp,400,600409,7.1
2021-11-07,temp,400,600410,6.2
2021-11-07,temp,400,600411,6.2
2021-11-07,temp,400,600413,6.2
2021-11-07,temp,500,600409,7.2
2021-11-07,temp,500,600410,6.7
2021-11-07,temp,500,600411,6.9
2021-11-07,temp,500,600413,6.4
2021-11-07,temp,600,600409,7.5
2021-11-07,temp,600,600410,7.2
2021-11-07,temp,600,600411,7.4
2021-11-07,temp,600,600413,7.2
2021-11-08,smc,300,600409,41.2
2021-11-08,smc,300,600410,38.1
2021-11-08,smc,300,600411,36.9
2021-11-08,smc,300,600413,38
2021-11-08,smc,450,600409,39.4
2021-11-08,smc,450,600410,37.5
2021-11-08,smc,450,600411,45.7
2021-11-08,smc,450,600413,38.7
2021-11-08,smc,600,600409,41.3
2021-11-08,smc,600,600410,35.2
2021-11-08,smc,600,600411,47.7
2021-11-08,smc,600,600413,32.5
2021-11-08,smc,750,600409,39.6
2021-11-08,smc,750,600410,34
2021-11-08,smc,750,600411,45.7
2021-11-08,smc,750,600413,29.2
2021-11-08,smc,900,600409,39.4
2021-11-08,smc,900,600410,40
2021-11-08,smc,900,600411,42.1
2021-11-08,smc,900,600413,34.7
2021-11-08,temp,035,600409,1.9
2021-11-08,temp,035,600410,3.5
2021-11-08,temp,035,600411,3.3
2021-11-08,temp,035,600413,2.8
2021-11-08,temp,100,600409,5.2
2021-11-08,temp,100,600410,4.4
2021-11-08,temp,100,600411,4.1
2021-11-08,temp,100,600413,3.5
2021-11-08,temp,200,600409,6.3
2021-11-08,temp,200,600410,5.5
2021-11-08,temp,200,600411,4.8
2021-11-08,temp,200,600413,4.3
2021-11-08,temp,300,600409,6.6
2021-11-08,temp,300,600410,5.8
2021-11-08,temp,300,600411,5.4
2021-11-08,temp,300,600413,5.2
2021-11-08,temp,400,600409,7.1
2021-11-08,temp,400,600410,6
2021-11-08,temp,400,600411,6.1
2021-11-08,temp,400,600413,6.1
2021-11-08,temp,500,600409,7.1
2021-11-08,temp,500,600410,6.5
2021-11-08,temp,500,600411,6.6
2021-11-08,temp,500,600413,6.1
2021-11-08,temp,600,600409,7.4
2021-11-08,temp,600,600410,7
2021-11-08,temp,600,600411,7
2021-11-08,temp,600,600413,7
2021-11-09,smc,300,600409,41.4
2021-11-09,smc,300,600410,38.3
2021-11-09,smc,300,600411,39.9
2021-11-09,smc,300,600413,38.4
2021-11-09,smc,450,600409,39.5
2021-11-09,smc,450,600410,37.5
2021-11-09,smc,450,600411,45.7
2021-11-09,smc,450,600413,38.8
2021-11-09,smc,600,600409,41.4
2021-11-09,smc,600,600410,35.5
2021-11-09,smc,600,600411,47.7
2021-11-09,smc,600,600413,32.6
2021-11-09,smc,750,600409,39.7
2021-11-09,smc,750,600410,34.2
2021-11-09,smc,750,600411,45.7
2021-11-09,smc,750,600413,29.5
2021-11-09,smc,900,600409,39.5
2021-11-09,smc,900,600410,40.1
2021-11-09,smc,900,600411,42.2
2021-11-09,smc,900,600413,34.9
2021-11-09,temp,035,600409,6.8
2021-11-09,temp,035,600410,5.4
2021-11-09,temp,035,600411,5.1
2021-11-09,temp,035,600413,5.6
2021-11-09,temp,100,600409,6.3
2021-11-09,temp,100,600410,5.2
